ADM3_FR,mean_population,total_population,mean_light,total_light
Ambsouya,8.337224685354691,32790.3046875,0.20692514845835716,813.8366088867188
Andemtenga,7.563391252373847,55757.3203125,0.08170493711160048,602.3287963867188
Arbinda,7.688913394632206,119893.2265625,0.12884795874450874,2009.126220703125
Arbollé,6.705287977075199,53233.28125,0.05334409614521665,423.498779296875
Bagaré,5.6991686348262185,24432.3359375,0.3475898758692705,1490.1177978515625
Bagassi,4.15608250911703,37608.390625,0.24473331825339817,2214.591796875
Bagré,8.854928429705215,42955.2578125,0.768344467877113,3727.239013671875
Bahn,10.48579895320197,42572.34375,0.09878101067002772,401.0509033203125
Bakata,14.283044004592652,35764.7421875,0.07380949879606692,184.81898498535156
Balavé,4.634471776850428,21100.75,0.19462242604035115,886.1159057617188
Bama,4.278531242921056,75550.3046875,1.0552805828094916,18634.14453125
Bana,6.389769417475728,16453.65625,5.5498046875,14290.7470703125
Bané,9.89280931366912,32260.451171875,-0.02881782576190442,-93.97492980957031
Banfora,6.729437176608416,137859.25,11.810386513960754,241947.578125
Bani,9.006252295306943,58243.43359375,0.05514088446783912,356.5960998535156
Banzon,10.43425983565737,26189.9921875,0.6084607857631972,1527.236572265625
Baraboulé,5.2002273726550285,29937.708984375,0.03261902374962003,187.7877197265625
Barani,5.8386566825972315,62000.6953125,0.09825431291346878,1043.362548828125
Barga,7.326455721655203,33020.3359375,0.0380266594574672,171.3861541748047
Barsalogho,9.959095861842721,106253.59375,0.05253219640247153,560.4660034179688
Bartiébougou,7.1157061723026915,15597.6279296875,-0.06952951946397767,-152.40870666503906
Baskouré,8.085377328624494,17957.623046875,0.39364960664889126,874.2957763671875
Bassi,6.793584090981214,26759.927734375,-0.03279504245778394,-129.17967224121094
Batié,4.638091925038004,36613.09765625,0.1381481819162497,1090.541748046875
Béguédo,6.943576141861127,24399.7265625,1.604547907699559,5638.38134765625
Békui,4.499219306093799,14222.0322265625,0.11962586511203437,378.1373596191406
Béré,6.538756832566168,45457.4375,0.1409242759502661,979.70556640625
Béréba,3.918653164616922,28437.666015625,0.0988927985479537,717.6650390625
Bérégadougou,3.2543972092093236,12461.0869140625,3.7246358995494906,14261.630859375
Bieha,6.63293883332068,43684.53515625,0.09626221852283727,633.9829711914062
Bilanga,11.12294438020881,121451.4296875,0.14040728800571253,1533.107177734375
Bindé,5.678418665508825,45364.88671875,0.06001393853804841,479.45135498046875
Bingo,5.691567021252696,15833.939453125,0.7163801597743306,1992.9696044921875
Bissiga,19.467112002447852,45728.24609375,1.2883772640950937,3026.398193359375
Bitou,9.718074483082706,90475.2734375,4.429010724355532,41234.08984375
Boala,12.722662574886659,39287.58203125,0.009814567516504792,30.307384490966797
Bobo-Dioulasso,8.60350486111111,774315.4375,43.47126111111111,3912413.5
Bogandé,11.938088224531615,101951.2734375,2.16358428168911,18477.009765625
Boken,6.956784748024298,58979.62109375,0.30647360263328616,2598.283203125
Bomborokui,3.6713020677114576,12240.12109375,0.10434869813146745,347.8985595703125
Bondokui,5.001537865990991,66620.484375,0.3782617334131006,5038.4462890625
Boni,6.741455398940539,20520.990234375,0.5597186495847364,1703.7835693359375
Boromo,5.259777111983221,30406.771484375,2.754302719847345,15922.6240234375
Botou,12.412252723623853,62235.03515625,-0.052288930350487386,-262.17669677734375
Boudri,6.918816950424342,100274.4140625,0.3295683826890568,4776.4345703125
Bougnounou,7.446761504649049,26629.619140625,0.1609326390345358,575.4951171875
Boulsa,7.726435194568301,95305.578125,1.4508612117450344,17896.373046875
Boundoré,9.540743049660442,28097.48828125,-0.04124105871229706,-121.45491790771484
Boura,3.368255365922844,22264.16796875,0.10731113451151192,709.3265991210938
Bourasso,4.164657080328921,10540.7470703125,0.5274073654651077,1334.8680419921875
Bouroum,7.12583128993907,47949.71875,0.008549896457925525,57.53225326538086
Bouroum-Bouroum,7.064871120997147,11141.3017578125,0.17902780168783688,282.32684326171875
Bourzanga,7.9344852541507445,60214.80859375,0.12298748857309923,933.35205078125
Boussé,7.69478705537434,49539.0390625,1.6484435674899036,10612.6796875
Bousséra,5.539192284547057,20423.001953125,0.05462471424223835,201.4013214111328
Boussou,6.031636177331946,27546.482421875,0.1018966096794942,465.36181640625
Boussou-Koula,12.02894035218254,13640.818359375,0.1897489759657118,215.1753387451172
Boussouma,3.8867840575050523,21155.765625,0.040469748339144025,220.27684020996094
Boussouma,7.532126350967008,99311.0859375,0.8991591267301858,11855.4130859375
Dablo,8.42540371295103,26152.453125,0.012153065081724186,37.723114013671875
Dakôrô,5.099274906200632,16139.205078125,0.28901334404003753,914.7272338867188
Dalô,4.773692197456759,10487.8017578125,0.10387916894842399,228.2225341796875
Dandé,7.915234375,20460.880859375,0.21951722490026596,567.4520263671875
Dano,4.370243187900414,53889.46875,1.630264456704647,20102.791015625
Dapeolgo,7.318369507418551,35267.22265625,0.43272069015550424,2085.281005859375
Dargo,7.243507838170865,33066.61328125,0.5126269638211939,2340.14208984375
Dassa,5.608777624721515,17622.779296875,0.25786918382747853,810.2249755859375
Dédougou,4.877486451978185,105529.296875,4.8708536264790165,105385.7890625
Déou,6.651676682692307,34588.71875,0.056424930279071514,293.4096374511719
Di,4.334134213314005,24292.822265625,4.596882317685103,25765.525390625
Diabo,5.865693784668949,49700.0234375,0.7952899444374779,6738.49169921875
Dialgaye,6.786981612289508,41916.3984375,0.2938166208217799,1814.6114501953125
Diapaga,5.586050847457627,41197.125,2.3220577330508476,17125.17578125
Diapangou,9.030673589939024,37025.76171875,0.499061874761814,2046.1536865234375
Didyr,5.291445109167149,45744.54296875,0.1736548119848901,1501.245849609375
Diébougou,4.584854850629687,47691.66015625,3.040919677405787,31631.646484375
Diguel,1.977580369612929,4955.81640625,0.056834885337689545,142.42822265625
Dissihn,5.418412400537269,39836.16796875,1.1247644932926415,8269.2685546875
Djibasso,5.343465794559855,56330.81640625,0.15090311883048166,1590.8206787109375
Djibo,8.065662555897148,72147.3515625,2.306988453745109,20636.01171875
Djigouè,28.414032535739192,40745.72265625,0.30482661674212214,437.1213684082031
Djigouèra,5.624987209033314,19754.955078125,0.19440811261500748,682.7612915039062
Dokui,4.863675341546006,31239.38671875,0.14063528180586368,903.3004150390625
Dolo,3.305174984381375,8100.98388671875,0.02023757442752958,49.602294921875
Dori,5.891260478112388,132830.25,3.511716497760234,79178.671875
Doulougou,3.9684424936921783,23592.390625,0.16962542586009777,1008.4231567382812
Doumbala,4.610855688541977,30975.728515625,0.26235226911957615,1762.4825439453125
Douna,3.8413457575828938,10194.931640625,0.5070327494318717,1345.6649169921875
Douroula,4.241712722889374,14570.283203125,0.5859042727096979,2012.5811767578125
Dourtenga,6.996084279027478,12984.732421875,0.45813941955566406,850.3067626953125
Fada-Ngourma,7.520034203572677,172178.703125,7.924773295553808,181445.609375
Falagountou,6.086293187634698,22592.3203125,1.0356913599474677,3844.486328125
Fara,4.791612459055368,45347.8203125,0.6455043041393702,6109.052734375
Faramana,5.697948234472896,20917.16796875,0.2012026170332079,738.6148071289062
Fo,7.347216138814016,27258.171875,0.18802151332968328,697.559814453125
Founzan,4.400930202699189,42310.54296875,0.4384883962353079,4215.62744140625
Foutouri,10.144319115615472,26618.693359375,-0.07463176657513874,-195.83375549316406
Gaô,5.230426503561065,19828.546875,0.11321351723757749,429.19244384765625
Gaongo,6.92930995703584,23587.37109375,0.05711507741208642,194.4197235107422
Gaoua,5.552391305560514,62208.9921875,6.696932317699036,75032.4296875
Garango,6.111930117313916,94429.3203125,1.2151250252831716,18773.681640625
Gassan,4.067949244303314,37311.23046875,0.8791872299866441,8063.9052734375
Gayéri,8.860853025998622,64329.79296875,0.5820001775568182,4225.3212890625
Gbomblora,4.542850701439915,19166.287109375,0.13831098782109208,583.5340576171875
Gbondjigui,5.523794852635023,23216.509765625,0.10033727333201359,421.7175598144531
Godyr,5.859220793914973,25083.32421875,0.11656926419517198,499.03302001953125
Gogo,6.55062351543943,52398.4375,0.07651169256264455,612.0170288085938
Gomboro,6.589244375983588,14654.4794921875,0.1612782238198699,358.6827697753906
Gomboussougou,5.615352060140021,48926.5625,0.1367643389816223,1191.627685546875
Gomponsom,6.286990436460389,22299.955078125,-0.003315995772657241,-11.761837005615234
Gorgadji,9.905020819313593,36797.15234375,0.027309513220395567,101.45484161376953
Gorom-Gorom,5.747238927607913,140600.453125,2.7828623819694243,68079.9453125
Gossina,4.369306144067797,19334.1796875,0.280670048772952,1241.9649658203125
Gounguen,4.837625825082508,36645.015625,0.32171642945544554,2437.001953125
Goursi,6.372709012437496,100682.4296875,1.3652929724587,21570.263671875
Guéguéré,4.762402703847984,40037.51953125,0.18539534344519448,1558.61865234375
Guiaro,9.46807134808441,46213.65625,0.11567147475142774,564.5924682617188
Guiba,4.079347805520048,30317.712890625,0.15369145092589478,1142.23486328125
Guibaré,5.303368878993848,26723.67578125,0.27892405060837966,1405.498291015625
Houndé,5.272754605459427,106045.640625,4.327506976556285,87034.8203125
Imasgho,6.060052155332837,28494.365234375,0.14535316068129253,683.4505615234375
Iôlôniôrô,14.950753200897571,42475.08984375,0.08437442208880566,239.70773315429688
Ipelsé,4.213652577145876,14457.0419921875,0.1571858961149264,539.3048095703125
Kaïn,9.176319686050364,13847.06640625,0.026160501185594764,39.4761962890625
Kalsaka,6.618952628405221,58312.97265625,0.6127093346516742,5397.96923828125
Kampti,8.333860593421436,57070.27734375,0.2666663945278275,1826.1314697265625
Kando,7.542892326795078,37397.66015625,1.5203944579782676,7538.11572265625
Kangala,6.29573820187896,28815.59375,0.15588898978588595,713.50390625
Kankalaba,5.85058946299639,11344.29296875,0.26504017680868036,513.9129028320312
Kantchari,12.286850245018629,75846.7265625,0.8552191119593391,5279.267578125
Karangasso-Sambla,4.922293126791972,30902.15625,0.31742508406090714,1992.794677734375
Karangasso-Vigué,4.984483023450778,108507.2109375,0.16107812787105516,3506.509765625
Kassou,6.968423557692308,56618.44140625,0.07196680438701923,584.7302856445312
Kassoum,3.9037018381390682,22372.115234375,0.7525817306643692,4313.0458984375
Kaya,7.654860720785825,143000.453125,6.565699273325839,122653.828125
Kayan,5.745258006371563,25698.5390625,0.20138071539043287,900.7759399414062
Kayao,5.868187705907141,38295.79296875,0.2676711273894805,1746.82177734375
Kelbo,7.738468890730548,30930.66015625,0.041982452720888325,167.80386352539062
Kiembara,6.374448843163285,33612.46875,0.19259299197414897,1015.5428466796875
Kindi,6.777939155071813,37753.12109375,0.1264687995294266,704.4312133789062
Kirsi,9.320392235186286,23515.349609375,0.3609288926640532,910.6235961914062
Koala,9.108287091121495,38983.46875,-0.005181786278697932,-22.17804527282715
Kogho,11.167246307951146,22401.49609375,0.016051369436003514,32.19904708862305
Kokologo,5.013474806937587,39601.4375,1.5735518835453854,12429.486328125
Kôlôkô,5.096509728833947,24891.353515625,0.20391203359343008,995.9063720703125
Kombissiri,4.489202690023051,75952.8203125,1.8594240618904783,31459.595703125
